小时,温度,风力方向,风级,降水量,相对湿度,空气质量
13,35,东北风,2,0,52,63
12,33,东北风,1,0,55,45
11,32,东风,2,0,62,43
10,31,东北风,2,0,66,42
09,29,东北风,1,0,72,44
08,27,西北风,1,0,79,45
07,26,西北风,1,0,86,43
06,25,西风,2,0,87,43
05,26,西南风,1,0,84,44
04,26,西风,2,0,83,43
03,26,西北风,1,0,83,43
02,26,西风,1,0,80,44
01,27,西北风,1,0,78,45
00,27,西风,1,0,74,44
23,28,西风,1,0,68,45
22,29,西北风,1,0,66,44
21,30,西风,1,0,57,42
20,30,西南风,2,0,58,41
19,32,西南风,2,0,52,41
18,32,西南风,2,0,52,46
17,34,西风,2,0,47,47
16,33,西风,2,0,48,47
15,32,西南风,1,0,56,45
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
13,35,东北风,2,0,52,63
12,33,东北风,1,0,55,45
11,32,东风,2,0,62,43
10,31,东北风,2,0,66,42
09,29,东北风,1,0,72,44
08,27,西北风,1,0,79,45
07,26,西北风,1,0,86,43
06,25,西风,2,0,87,43
05,26,西南风,1,0,84,44
04,26,西风,2,0,83,43
03,26,西北风,1,0,83,43
02,26,西风,1,0,80,44
01,27,西北风,1,0,78,45
00,27,西风,1,0,74,44
23,28,西风,1,0,68,45
22,29,西北风,1,0,66,44
21,30,西风,1,0,57,42
20,30,西南风,2,0,58,41
19,32,西南风,2,0,52,41
18,32,西南风,2,0,52,46
17,34,西风,2,0,47,47
16,33,西风,2,0,48,47
15,32,西南风,1,0,56,45
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
13,35,东北风,2,0,52,63
12,33,东北风,1,0,55,45
11,32,东风,2,0,62,43
10,31,东北风,2,0,66,42
09,29,东北风,1,0,72,44
08,27,西北风,1,0,79,45
07,26,西北风,1,0,86,43
06,25,西风,2,0,87,43
05,26,西南风,1,0,84,44
04,26,西风,2,0,83,43
03,26,西北风,1,0,83,43
02,26,西风,1,0,80,44
01,27,西北风,1,0,78,45
00,27,西风,1,0,74,44
23,28,西风,1,0,68,45
22,29,西北风,1,0,66,44
21,30,西风,1,0,57,42
20,30,西南风,2,0,58,41
19,32,西南风,2,0,52,41
18,32,西南风,2,0,52,46
17,34,西风,2,0,47,47
16,33,西风,2,0,48,47
15,32,西南风,1,0,56,45
14,32,西南风,2,0,55,41
13,32,东风,2,0,57,33
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
13,35,东北风,2,0,52,63
12,33,东北风,1,0,55,45
11,32,东风,2,0,62,43
10,31,东北风,2,0,66,42
09,29,东北风,1,0,72,44
08,27,西北风,1,0,79,45
07,26,西北风,1,0,86,43
06,25,西风,2,0,87,43
05,26,西南风,1,0,84,44
04,26,西风,2,0,83,43
03,26,西北风,1,0,83,43
02,26,西风,1,0,80,44
01,27,西北风,1,0,78,45
00,27,西风,1,0,74,44
23,28,西风,1,0,68,45
22,29,西北风,1,0,66,44
21,30,西风,1,0,57,42
20,30,西南风,2,0,58,41
19,32,西南风,2,0,52,41
18,32,西南风,2,0,52,46
17,34,西风,2,0,47,47
16,33,西风,2,0,48,47
15,32,西南风,1,0,56,45
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
13,35,东北风,2,0,52,63
12,33,东北风,1,0,55,45
11,32,东风,2,0,62,43
10,31,东北风,2,0,66,42
09,29,东北风,1,0,72,44
08,27,西北风,1,0,79,45
07,26,西北风,1,0,86,43
06,25,西风,2,0,87,43
05,26,西南风,1,0,84,44
04,26,西风,2,0,83,43
03,26,西北风,1,0,83,43
02,26,西风,1,0,80,44
01,27,西北风,1,0,78,45
00,27,西风,1,0,74,44
23,28,西风,1,0,68,45
22,29,西北风,1,0,66,44
21,30,西风,1,0,57,42
20,30,西南风,2,0,58,41
19,32,西南风,2,0,52,41
18,32,西南风,2,0,52,46
17,34,西风,2,0,47,47
16,33,西风,2,0,48,47
15,32,西南风,1,0,56,45
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
14,36,西北风,2,0,43,
13,35,东北风,2,0,52,63
12,33,东北风,1,0,55,45
11,32,东风,2,0,62,43
10,31,东北风,2,0,66,42
09,29,东北风,1,0,72,44
08,27,西北风,1,0,79,45
07,26,西北风,1,0,86,43
06,25,西风,2,0,87,43
05,26,西南风,1,0,84,44
04,26,西风,2,0,83,43
03,26,西北风,1,0,83,43
02,26,西风,1,0,80,44
01,27,西北风,1,0,78,45
00,27,西风,1,0,74,44
23,28,西风,1,0,68,45
22,29,西北风,1,0,66,44
21,30,西风,1,0,57,42
20,30,西南风,2,0,58,41
19,32,西南风,2,0,52,41
18,32,西南风,2,0,52,46
17,34,西风,2,0,47,47
16,33,西风,2,0,48,47
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
14,36,西北风,2,0,43,
13,35,东北风,2,0,52,63
12,33,东北风,1,0,55,45
11,32,东风,2,0,62,43
10,31,东北风,2,0,66,42
09,29,东北风,1,0,72,44
08,27,西北风,1,0,79,45
07,26,西北风,1,0,86,43
06,25,西风,2,0,87,43
05,26,西南风,1,0,84,44
04,26,西风,2,0,83,43
03,26,西北风,1,0,83,43
02,26,西风,1,0,80,44
01,27,西北风,1,0,78,45
00,27,西风,1,0,74,44
23,28,西风,1,0,68,45
22,29,西北风,1,0,66,44
21,30,西风,1,0,57,42
20,30,西南风,2,0,58,41
19,32,西南风,2,0,52,41
18,32,西南风,2,0,52,46
17,34,西风,2,0,47,47
16,33,西风,2,0,48,47
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
14,36,西北风,2,0,43,
13,35,东北风,2,0,52,63
12,33,东北风,1,0,55,45
11,32,东风,2,0,62,43
10,31,东北风,2,0,66,42
09,29,东北风,1,0,72,44
08,27,西北风,1,0,79,45
07,26,西北风,1,0,86,43
06,25,西风,2,0,87,43
05,26,西南风,1,0,84,44
04,26,西风,2,0,83,43
03,26,西北风,1,0,83,43
02,26,西风,1,0,80,44
01,27,西北风,1,0,78,45
00,27,西风,1,0,74,44
23,28,西风,1,0,68,45
22,29,西北风,1,0,66,44
21,30,西风,1,0,57,42
20,30,西南风,2,0,58,41
19,32,西南风,2,0,52,41
18,32,西南风,2,0,52,46
17,34,西风,2,0,47,47
16,33,西风,2,0,48,47
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
14,36,西北风,2,0,43,
13,35,东北风,2,0,52,63
12,33,东北风,1,0,55,45
11,32,东风,2,0,62,43
10,31,东北风,2,0,66,42
09,29,东北风,1,0,72,44
08,27,西北风,1,0,79,45
07,26,西北风,1,0,86,43
06,25,西风,2,0,87,43
05,26,西南风,1,0,84,44
04,26,西风,2,0,83,43
03,26,西北风,1,0,83,43
02,26,西风,1,0,80,44
01,27,西北风,1,0,78,45
00,27,西风,1,0,74,44
23,28,西风,1,0,68,45
22,29,西北风,1,0,66,44
21,30,西风,1,0,57,42
20,30,西南风,2,0,58,41
19,32,西南风,2,0,52,41
18,32,西南风,2,0,52,46
17,34,西风,2,0,47,47
16,33,西风,2,0,48,47
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
14,36,西北风,2,0,43,
13,35,东北风,2,0,52,63
12,33,东北风,1,0,55,45
11,32,东风,2,0,62,43
10,31,东北风,2,0,66,42
09,29,东北风,1,0,72,44
08,27,西北风,1,0,79,45
07,26,西北风,1,0,86,43
06,25,西风,2,0,87,43
05,26,西南风,1,0,84,44
04,26,西风,2,0,83,43
03,26,西北风,1,0,83,43
02,26,西风,1,0,80,44
01,27,西北风,1,0,78,45
00,27,西风,1,0,74,44
23,28,西风,1,0,68,45
22,29,西北风,1,0,66,44
21,30,西风,1,0,57,42
20,30,西南风,2,0,58,41
19,32,西南风,2,0,52,41
18,32,西南风,2,0,52,46
17,34,西风,2,0,47,47
16,33,西风,2,0,48,47
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
14,36,西北风,2,0,43,
13,35,东北风,2,0,52,63
12,33,东北风,1,0,55,45
11,32,东风,2,0,62,43
10,31,东北风,2,0,66,42
09,29,东北风,1,0,72,44
08,27,西北风,1,0,79,45
07,26,西北风,1,0,86,43
06,25,西风,2,0,87,43
05,26,西南风,1,0,84,44
04,26,西风,2,0,83,43
03,26,西北风,1,0,83,43
02,26,西风,1,0,80,44
01,27,西北风,1,0,78,45
00,27,西风,1,0,74,44
23,28,西风,1,0,68,45
22,29,西北风,1,0,66,44
21,30,西风,1,0,57,42
20,30,西南风,2,0,58,41
19,32,西南风,2,0,52,41
18,32,西南风,2,0,52,46
17,34,西风,2,0,47,47
16,33,西风,2,0,48,47
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
14,36,西北风,2,0,43,
13,35,东北风,2,0,52,63
12,33,东北风,1,0,55,45
11,32,东风,2,0,62,43
10,31,东北风,2,0,66,42
09,29,东北风,1,0,72,44
08,27,西北风,1,0,79,45
07,26,西北风,1,0,86,43
06,25,西风,2,0,87,43
05,26,西南风,1,0,84,44
04,26,西风,2,0,83,43
03,26,西北风,1,0,83,43
02,26,西风,1,0,80,44
01,27,西北风,1,0,78,45
00,27,西风,1,0,74,44
23,28,西风,1,0,68,45
22,29,西北风,1,0,66,44
21,30,西风,1,0,57,42
20,30,西南风,2,0,58,41
19,32,西南风,2,0,52,41
18,32,西南风,2,0,52,46
17,34,西风,2,0,47,47
16,33,西风,2,0,48,47
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
14,36,西北风,2,0,43,
13,35,东北风,2,0,52,63
12,33,东北风,1,0,55,45
11,32,东风,2,0,62,43
10,31,东北风,2,0,66,42
09,29,东北风,1,0,72,44
08,27,西北风,1,0,79,45
07,26,西北风,1,0,86,43
06,25,西风,2,0,87,43
05,26,西南风,1,0,84,44
04,26,西风,2,0,83,43
03,26,西北风,1,0,83,43
02,26,西风,1,0,80,44
01,27,西北风,1,0,78,45
00,27,西风,1,0,74,44
23,28,西风,1,0,68,45
22,29,西北风,1,0,66,44
21,30,西风,1,0,57,42
20,30,西南风,2,0,58,41
19,32,西南风,2,0,52,41
18,32,西南风,2,0,52,46
17,34,西风,2,0,47,47
