小时,温度,风力方向,风级,降水量,相对湿度,空气质量
16,29,东北风,1,0,86,
15,33,东风,2,0,64,47
14,34,西南风,1,0,56,49
13,34,东北风,1,0,56,41
12,33,北风,2,0,61,32
11,33,东北风,1,0.1,64,27
10,31,东北风,1,0,72,23
09,30,东风,1,0,73,21
08,29,南风,1,0,78,23
07,27,北风,1,0,85,25
06,27,西北风,1,0,82,23
05,28,南风,1,0,78,24
04,28,南风,1,0,77,26
03,28,西南风,1,0,78,28
02,29,东南风,1,0,77,30
01,29,东南风,1,0,76,34
00,29,南风,1,0,75,33
23,30,南风,1,0,71,32
22,30,南风,1,0,68,32
21,31,南风,1,0,69,37
20,31,南风,2,0,64,39
19,32,南风,2,0,59,42
18,32,南风,1,0,61,48
17,33,南风,2,0,60,50
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
16,37,东北风,1,0,41,108
15,36,西北风,2,0,42,103
14,36,西北风,2,0,43,88
13,35,东北风,2,0,52,63
12,33,东北风,1,0,55,45
11,32,东风,2,0,62,43
10,31,东北风,2,0,66,42
09,29,东北风,1,0,72,44
08,27,西北风,1,0,79,45
07,26,西北风,1,0,86,43
06,25,西风,2,0,87,43
05,26,西南风,1,0,84,44
04,26,西风,2,0,83,43
03,26,西北风,1,0,83,43
02,26,西风,1,0,80,44
01,27,西北风,1,0,78,45
00,27,西风,1,0,74,44
23,28,西风,1,0,68,45
22,29,西北风,1,0,66,44
21,30,西风,1,0,57,42
20,30,西南风,2,0,58,41
19,32,西南风,2,0,52,41
18,32,西南风,2,0,52,46
17,34,西风,2,0,47,47
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
16,37,东北风,1,0,41,108
15,36,西北风,2,0,42,103
14,36,西北风,2,0,43,88
13,35,东北风,2,0,52,63
12,33,东北风,1,0,55,45
11,32,东风,2,0,62,43
10,31,东北风,2,0,66,42
09,29,东北风,1,0,72,44
08,27,西北风,1,0,79,45
07,26,西北风,1,0,86,43
06,25,西风,2,0,87,43
05,26,西南风,1,0,84,44
04,26,西风,2,0,83,43
03,26,西北风,1,0,83,43
02,26,西风,1,0,80,44
01,27,西北风,1,0,78,45
00,27,西风,1,0,74,44
23,28,西风,1,0,68,45
22,29,西北风,1,0,66,44
21,30,西风,1,0,57,42
20,30,西南风,2,0,58,41
19,32,西南风,2,0,52,41
18,32,西南风,2,0,52,46
17,34,西风,2,0,47,47
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
16,29,东北风,1,0,86,36
15,33,东风,2,0,64,47
14,34,西南风,1,0,56,49
13,34,东北风,1,0,56,41
12,33,北风,2,0,61,32
11,33,东北风,1,0.1,64,27
10,31,东北风,1,0,72,23
09,30,东风,1,0,73,21
08,29,南风,1,0,78,23
07,27,北风,1,0,85,25
06,27,西北风,1,0,82,23
05,28,南风,1,0,78,24
04,28,南风,1,0,77,26
03,28,西南风,1,0,78,28
02,29,东南风,1,0,77,30
01,29,东南风,1,0,76,34
00,29,南风,1,0,75,33
23,30,南风,1,0,71,32
22,30,南风,1,0,68,32
21,31,南风,1,0,69,37
20,31,南风,2,0,64,39
19,32,南风,2,0,59,42
18,32,南风,1,0,61,48
17,33,南风,2,0,60,50
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
16,37,东北风,1,0,41,108
15,36,西北风,2,0,42,103
14,36,西北风,2,0,43,88
13,35,东北风,2,0,52,63
12,33,东北风,1,0,55,45
11,32,东风,2,0,62,43
10,31,东北风,2,0,66,42
09,29,东北风,1,0,72,44
08,27,西北风,1,0,79,45
07,26,西北风,1,0,86,43
06,25,西风,2,0,87,43
05,26,西南风,1,0,84,44
04,26,西风,2,0,83,43
03,26,西北风,1,0,83,43
02,26,西风,1,0,80,44
01,27,西北风,1,0,78,45
00,27,西风,1,0,74,44
23,28,西风,1,0,68,45
22,29,西北风,1,0,66,44
21,30,西风,1,0,57,42
20,30,西南风,2,0,58,41
19,32,西南风,2,0,52,41
18,32,西南风,2,0,52,46
17,34,西风,2,0,47,47
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
16,29,东北风,1,0,86,36
15,33,东风,2,0,64,47
14,34,西南风,1,0,56,49
13,34,东北风,1,0,56,41
12,33,北风,2,0,61,32
11,33,东北风,1,0.1,64,27
10,31,东北风,1,0,72,23
09,30,东风,1,0,73,21
08,29,南风,1,0,78,23
07,27,北风,1,0,85,25
06,27,西北风,1,0,82,23
05,28,南风,1,0,78,24
04,28,南风,1,0,77,26
03,28,西南风,1,0,78,28
02,29,东南风,1,0,77,30
01,29,东南风,1,0,76,34
00,29,南风,1,0,75,33
23,30,南风,1,0,71,32
22,30,南风,1,0,68,32
21,31,南风,1,0,69,37
20,31,南风,2,0,64,39
19,32,南风,2,0,59,42
18,32,南风,1,0,61,48
17,33,南风,2,0,60,50
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
16,27,东北风,3,0,63,29
15,27,东北风,2,0,66,29
14,27,东北风,3,0,66,29
13,26,东北风,2,0,69,27
12,25,北风,2,0,78,24
11,24,东北风,2,0,86,22
10,23,东北风,2,0.3,100,18
09,22,北风,1,1.3,100,15
08,21,西风,1,1.6,100,15
07,21,南风,1,0.7,100,15
06,21,西风,1,0.5,100,17
05,21,北风,1,0.3,100,18
04,21,西北风,1,2.9,100,20
03,21,北风,2,1.9,100,22
02,21,西北风,2,4.1,100,23
01,21,西风,3,3.1,100,23
00,23,西风,2,0,80,21
23,25,西北风,2,0,64,22
22,25,西北风,1,0,62,21
21,25,西北风,1,0,61,22
20,25,西北风,1,0,63,24
19,26,西北风,1,0,61,25
18,26,北风,2,0,57,27
17,26,北风,2,0,60,28
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
16,27,东北风,3,0,63,29
15,27,东北风,2,0,66,29
14,27,东北风,3,0,66,29
13,26,东北风,2,0,69,27
12,25,北风,2,0,78,24
11,24,东北风,2,0,86,22
10,23,东北风,2,0.3,100,18
09,22,北风,1,1.3,100,15
08,21,西风,1,1.6,100,15
07,21,南风,1,0.7,100,15
06,21,西风,1,0.5,100,17
05,21,北风,1,0.3,100,18
04,21,西北风,1,2.9,100,20
03,21,北风,2,1.9,100,22
02,21,西北风,2,4.1,100,23
01,21,西风,3,3.1,100,23
00,23,西风,2,0,80,21
23,25,西北风,2,0,64,22
22,25,西北风,1,0,62,21
21,25,西北风,1,0,61,22
20,25,西北风,1,0,63,24
19,26,西北风,1,0,61,25
18,26,北风,2,0,57,27
17,26,北风,2,0,60,28
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
16,27,东北风,3,0,63,29
15,27,东北风,2,0,66,29
14,27,东北风,3,0,66,29
13,26,东北风,2,0,69,27
12,25,北风,2,0,78,24
11,24,东北风,2,0,86,22
10,23,东北风,2,0.3,100,18
09,22,北风,1,1.3,100,15
08,21,西风,1,1.6,100,15
07,21,南风,1,0.7,100,15
06,21,西风,1,0.5,100,17
05,21,北风,1,0.3,100,18
04,21,西北风,1,2.9,100,20
03,21,北风,2,1.9,100,22
02,21,西北风,2,4.1,100,23
01,21,西风,3,3.1,100,23
00,23,西风,2,0,80,21
23,25,西北风,2,0,64,22
22,25,西北风,1,0,62,21
21,25,西北风,1,0,61,22
20,25,西北风,1,0,63,24
19,26,西北风,1,0,61,25
18,26,北风,2,0,57,27
17,26,北风,2,0,60,28
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
16,27,东北风,3,0,63,29
15,27,东北风,2,0,66,29
14,27,东北风,3,0,66,29
13,26,东北风,2,0,69,27
12,25,北风,2,0,78,24
11,24,东北风,2,0,86,22
10,23,东北风,2,0.3,100,18
09,22,北风,1,1.3,100,15
08,21,西风,1,1.6,100,15
07,21,南风,1,0.7,100,15
06,21,西风,1,0.5,100,17
05,21,北风,1,0.3,100,18
04,21,西北风,1,2.9,100,20
03,21,北风,2,1.9,100,22
02,21,西北风,2,4.1,100,23
01,21,西风,3,3.1,100,23
00,23,西风,2,0,80,21
23,25,西北风,2,0,64,22
22,25,西北风,1,0,62,21
21,25,西北风,1,0,61,22
20,25,西北风,1,0,63,24
19,26,西北风,1,0,61,25
18,26,北风,2,0,57,27
17,26,北风,2,0,60,28
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
16,27,东北风,3,0,63,29
15,27,东北风,2,0,66,29
14,27,东北风,3,0,66,29
13,26,东北风,2,0,69,27
12,25,北风,2,0,78,24
11,24,东北风,2,0,86,22
10,23,东北风,2,0.3,100,18
09,22,北风,1,1.3,100,15
08,21,西风,1,1.6,100,15
07,21,南风,1,0.7,100,15
06,21,西风,1,0.5,100,17
05,21,北风,1,0.3,100,18
04,21,西北风,1,2.9,100,20
03,21,北风,2,1.9,100,22
02,21,西北风,2,4.1,100,23
01,21,西风,3,3.1,100,23
00,23,西风,2,0,80,21
23,25,西北风,2,0,64,22
22,25,西北风,1,0,62,21
21,25,西北风,1,0,61,22
20,25,西北风,1,0,63,24
19,26,西北风,1,0,61,25
18,26,北风,2,0,57,27
17,26,北风,2,0,60,28
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
16,27,东北风,3,0,63,29
15,27,东北风,2,0,66,29
14,27,东北风,3,0,66,29
13,26,东北风,2,0,69,27
12,25,北风,2,0,78,24
11,24,东北风,2,0,86,22
10,23,东北风,2,0.3,100,18
09,22,北风,1,1.3,100,15
08,21,西风,1,1.6,100,15
07,21,南风,1,0.7,100,15
06,21,西风,1,0.5,100,17
05,21,北风,1,0.3,100,18
04,21,西北风,1,2.9,100,20
03,21,北风,2,1.9,100,22
02,21,西北风,2,4.1,100,23
01,21,西风,3,3.1,100,23
00,23,西风,2,0,80,21
23,25,西北风,2,0,64,22
22,25,西北风,1,0,62,21
21,25,西北风,1,0,61,22
20,25,西北风,1,0,63,24
19,26,西北风,1,0,61,25
18,26,北风,2,0,57,27
17,26,北风,2,0,60,28
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
16,27,东北风,3,0,63,29
15,27,东北风,2,0,66,29
14,27,东北风,3,0,66,29
13,26,东北风,2,0,69,27
12,25,北风,2,0,78,24
11,24,东北风,2,0,86,22
10,23,东北风,2,0.3,100,18
09,22,北风,1,1.3,100,15
08,21,西风,1,1.6,100,15
07,21,南风,1,0.7,100,15
06,21,西风,1,0.5,100,17
05,21,北风,1,0.3,100,18
04,21,西北风,1,2.9,100,20
03,21,北风,2,1.9,100,22
02,21,西北风,2,4.1,100,23
01,21,西风,3,3.1,100,23
00,23,西风,2,0,80,21
23,25,西北风,2,0,64,22
22,25,西北风,1,0,62,21
21,25,西北风,1,0,61,22
20,25,西北风,1,0,63,24
19,26,西北风,1,0,61,25
18,26,北风,2,0,57,27
17,26,北风,2,0,60,28
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
16,27,东北风,3,0,63,29
15,27,东北风,2,0,66,29
14,27,东北风,3,0,66,29
13,26,东北风,2,0,69,27
12,25,北风,2,0,78,24
11,24,东北风,2,0,86,22
10,23,东北风,2,0.3,100,18
09,22,北风,1,1.3,100,15
08,21,西风,1,1.6,100,15
07,21,南风,1,0.7,100,15
06,21,西风,1,0.5,100,17
05,21,北风,1,0.3,100,18
04,21,西北风,1,2.9,100,20
03,21,北风,2,1.9,100,22
02,21,西北风,2,4.1,100,23
01,21,西风,3,3.1,100,23
00,23,西风,2,0,80,21
23,25,西北风,2,0,64,22
22,25,西北风,1,0,62,21
21,25,西北风,1,0,61,22
20,25,西北风,1,0,63,24
19,26,西北风,1,0,61,25
18,26,北风,2,0,57,27
17,26,北风,2,0,60,28
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
16,27,东北风,3,0,63,29
15,27,东北风,2,0,66,29
14,27,东北风,3,0,66,29
13,26,东北风,2,0,69,27
12,25,北风,2,0,78,24
11,24,东北风,2,0,86,22
10,23,东北风,2,0.3,100,18
09,22,北风,1,1.3,100,15
08,21,西风,1,1.6,100,15
07,21,南风,1,0.7,100,15
06,21,西风,1,0.5,100,17
05,21,北风,1,0.3,100,18
04,21,西北风,1,2.9,100,20
03,21,北风,2,1.9,100,22
02,21,西北风,2,4.1,100,23
01,21,西风,3,3.1,100,23
00,23,西风,2,0,80,21
23,25,西北风,2,0,64,22
22,25,西北风,1,0,62,21
21,25,西北风,1,0,61,22
20,25,西北风,1,0,63,24
19,26,西北风,1,0,61,25
18,26,北风,2,0,57,27
17,26,北风,2,0,60,28
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
17,26,东北风,2,0,65,
16,27,东北风,3,0,63,29
15,27,东北风,2,0,66,29
14,27,东北风,3,0,66,29
13,26,东北风,2,0,69,27
12,25,北风,2,0,78,24
11,24,东北风,2,0,86,22
10,23,东北风,2,0.3,100,18
09,22,北风,1,1.3,100,15
08,21,西风,1,1.6,100,15
07,21,南风,1,0.7,100,15
06,21,西风,1,0.5,100,17
05,21,北风,1,0.3,100,18
04,21,西北风,1,2.9,100,20
03,21,北风,2,1.9,100,22
02,21,西北风,2,4.1,100,23
01,21,西风,3,3.1,100,23
00,23,西风,2,0,80,21
23,25,西北风,2,0,64,22
22,25,西北风,1,0,62,21
21,25,西北风,1,0,61,22
20,25,西北风,1,0,63,24
19,26,西北风,1,0,61,25
18,26,北风,2,0,57,27
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
17,26,东北风,2,0,65,
16,27,东北风,3,0,63,29
15,27,东北风,2,0,66,29
14,27,东北风,3,0,66,29
13,26,东北风,2,0,69,27
12,25,北风,2,0,78,24
11,24,东北风,2,0,86,22
10,23,东北风,2,0.3,100,18
09,22,北风,1,1.3,100,15
08,21,西风,1,1.6,100,15
07,21,南风,1,0.7,100,15
06,21,西风,1,0.5,100,17
05,21,北风,1,0.3,100,18
04,21,西北风,1,2.9,100,20
03,21,北风,2,1.9,100,22
02,21,西北风,2,4.1,100,23
01,21,西风,3,3.1,100,23
00,23,西风,2,0,80,21
23,25,西北风,2,0,64,22
22,25,西北风,1,0,62,21
21,25,西北风,1,0,61,22
20,25,西北风,1,0,63,24
19,26,西北风,1,0,61,25
18,26,北风,2,0,57,27
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
17,26,东北风,2,0,65,
16,27,东北风,3,0,63,29
15,27,东北风,2,0,66,29
14,27,东北风,3,0,66,29
13,26,东北风,2,0,69,27
12,25,北风,2,0,78,24
11,24,东北风,2,0,86,22
10,23,东北风,2,0.3,100,18
09,22,北风,1,1.3,100,15
08,21,西风,1,1.6,100,15
07,21,南风,1,0.7,100,15
06,21,西风,1,0.5,100,17
05,21,北风,1,0.3,100,18
04,21,西北风,1,2.9,100,20
03,21,北风,2,1.9,100,22
02,21,西北风,2,4.1,100,23
01,21,西风,3,3.1,100,23
00,23,西风,2,0,80,21
23,25,西北风,2,0,64,22
22,25,西北风,1,0,62,21
21,25,西北风,1,0,61,22
20,25,西北风,1,0,63,24
19,26,西北风,1,0,61,25
18,26,北风,2,0,57,27
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
17,26,东北风,2,0,65,
16,27,东北风,3,0,63,29
15,27,东北风,2,0,66,29
14,27,东北风,3,0,66,29
13,26,东北风,2,0,69,27
12,25,北风,2,0,78,24
11,24,东北风,2,0,86,22
10,23,东北风,2,0.3,100,18
09,22,北风,1,1.3,100,15
08,21,西风,1,1.6,100,15
07,21,南风,1,0.7,100,15
06,21,西风,1,0.5,100,17
05,21,北风,1,0.3,100,18
04,21,西北风,1,2.9,100,20
03,21,北风,2,1.9,100,22
02,21,西北风,2,4.1,100,23
